nome_canal,codigo
fabio_holder,UCJIcpGAVfGIVgHSQ6oCcrXg
dica_de_hoje,UCV74rV9AAKqXERWwfSP_Z1g
tio_huli,UCm7itZHb1C_OODL1rkremOQ
primo_rico,UCT4nDeU5pv1XIGySbSK-GgA
bruno_perini,UCCE-jo1GvBJqyj1b287h7jA
pitmoney,UCFXnHnisrIo8TlTnfyGm_5Q
fundamentei,UC72WcGU4HpVposjNHlP3FRg
500pratas,UCU4AlCHPHLeT--kSWCgbHhA
mepoupe,UC8mDF5mWNGE-Kpfcvnn0bUg
topinvest,UCgn_I-nMG1EL6Oc6e-BfscA
jovens_negocios,UC6pkw1C4ha1cmU9aDJ8OxUw
financas_quant,UCzCrdOO2GLYVnNhZUvG03lg
investidor_sardinha,UCM3vJxmuJJkk1r0yzFI9eZg
favelado_investidor,UC_IVY7OXbXLHAFoBcS4Sy4Q
spiti,UCIjDZzIWu0wlkDbBImhCS7Q
ulrich,UCLJkh3QjHsLtK0LZFd28oGg
jose_kobori,UCOKSOW5uJHdW7Edz37mvAFw
economista_sincero,UCrp0zmecZ3TNV8FSR-tjv7A
vicente_guimaraes,UCfwlP7xvHU7MBs-GNN4if-Q
tiago_reis,UCwONybZQdULFV_ts2911Rqg
suno,UCWDeEIDAIi_oYKDiqwfGyRg
percigo,UCs0uN26AVGPxHo9swXU44eg
primocast,UCfMA8s_QXPPcuOTjTDFb4vA
roxo,UCNM3TPS5ILT9YnsMcYx5KEA
carteira_z,UCEm1pvP6hKmMDArJ5dKpcpw
quantzed,UCDm0hBmR2n-t-mTNhU3o4vg
nord,UCsU0E4F3RxVOSjWlIMieReA
papo_de_bolsa,UC-4eHsrgDjSmO8EaOUwnSHQ
economirna,UCwLxXLLWEIJFHEeTMlYqHTA
vamos_pra_bolsa,UCv7kTlQJjjDcqIeLUgXocTw
financas_femininas,UC4rmnC1GKxNtWLw2fRxNxMA
edufinance,UChwx8bZzJQH6e454y5zogeA
